Time,Open,High,Low,Close
2018-01-25 11:15,1.24920,1.24933,1.24907,1.24929
2018-01-25 11:16,1.24928,1.24942,1.24917,1.24940
2018-01-25 11:17,1.24935,1.24935,1.24901,1.24905
2018-01-25 11:18,1.24904,1.24957,1.24903,1.24957
2018-01-25 11:19,1.24959,1.24977,1.24946,1.24974
2018-01-25 11:20,1.24972,1.24983,1.24956,1.24959
2018-01-25 11:21,1.24960,1.24972,1.24930,1.24930
2018-01-25 11:22,1.24929,1.24959,1.24927,1.24950
2018-01-25 11:23,1.24949,1.24956,1.24937,1.24937
2018-01-25 11:24,1.24937,1.24967,1.24932,1.24958
2018-01-25 11:25,1.24959,1.24976,1.24957,1.24975
2018-01-25 11:26,1.24974,1.24981,1.24962,1.24969
2018-01-25 11:27,1.24970,1.24992,1.24963,1.24977
2018-01-25 11:28,1.24977,1.25015,1.24977,1.25015
2018-01-25 11:29,1.25016,1.25063,1.25016,1.25063
2018-01-25 11:30,1.25064,1.25065,1.25034,1.25034
2018-01-25 11:31,1.25035,1.25035,1.25008,1.25009
2018-01-25 11:32,1.25008,1.25015,1.24990,1.24994
2018-01-25 11:33,1.24992,1.25002,1.24982,1.24996
2018-01-25 11:34,1.24995,1.24998,1.24935,1.24944
2018-01-25 11:35,1.24946,1.24963,1.24941,1.24960
2018-01-25 11:36,1.24963,1.24970,1.24933,1.24953
2018-01-25 11:37,1.24952,1.24953,1.24931,1.24931
2018-01-25 11:38,1.24933,1.24952,1.24931,1.24944
2018-01-25 11:39,1.24946,1.24950,1.24895,1.24897
2018-01-25 11:40,1.24896,1.24917,1.24896,1.24910
2018-01-25 11:41,1.24912,1.24921,1.24910,1.24910
2018-01-25 11:42,1.24915,1.24915,1.24869,1.24870
2018-01-25 11:43,1.24873,1.24876,1.24839,1.24849
2018-01-25 11:44,1.24850,1.24907,1.24850,1.24894
2018-01-25 11:45,1.24896,1.24900,1.24882,1.24885
2018-01-25 11:46,1.24886,1.24890,1.24857,1.24857
2018-01-25 11:47,1.24856,1.24878,1.24855,1.24873
2018-01-25 11:48,1.24875,1.24915,1.24854,1.24913
2018-01-25 11:49,1.24912,1.24920,1.24900,1.24908
2018-01-25 11:50,1.24909,1.24915,1.24887,1.24903
2018-01-25 11:51,1.24908,1.24913,1.24888,1.24888
2018-01-25 11:52,1.24888,1.24899,1.24868,1.24891
2018-01-25 11:53,1.24895,1.24934,1.24895,1.24930
2018-01-25 11:54,1.24929,1.24929,1.24881,1.24881
2018-01-25 11:55,1.24878,1.24881,1.24860,1.24867
2018-01-25 11:56,1.24866,1.24875,1.24862,1.24875
2018-01-25 11:57,1.24876,1.24909,1.24876,1.24908
2018-01-25 11:58,1.24907,1.24909,1.24888,1.24891
2018-01-25 11:59,1.24892,1.24893,1.24871,1.24872
2018-01-25 12:00,1.24871,1.24899,1.24868,1.24897
2018-01-25 12:01,1.24897,1.24897,1.24855,1.24868
2018-01-25 12:02,1.24868,1.24868,1.24843,1.24861
2018-01-25 12:03,1.24853,1.24853,1.24815,1.24820
2018-01-25 12:04,1.24819,1.24848,1.24815,1.24847
2018-01-25 12:05,1.24846,1.24852,1.24823,1.24850
2018-01-25 12:06,1.24849,1.24869,1.24840,1.24862
2018-01-25 12:07,1.24863,1.24875,1.24857,1.24869
2018-01-25 12:08,1.24870,1.24892,1.24870,1.24873
2018-01-25 12:09,1.24875,1.24905,1.24875,1.24894
2018-01-25 12:10,1.24893,1.24893,1.24859,1.24869
2018-01-25 12:11,1.24868,1.24885,1.24861,1.24870
2018-01-25 12:12,1.24869,1.24873,1.24850,1.24870
2018-01-25 12:13,1.24869,1.24872,1.24844,1.24851
2018-01-25 12:14,1.24850,1.24860,1.24848,1.24852
2018-01-25 12:15,1.24851,1.24857,1.24843,1.24856
2018-01-25 12:16,1.24856,1.24872,1.24852,1.24867
2018-01-25 12:17,1.24867,1.24873,1.24858,1.24867
2018-01-25 12:18,1.24867,1.24884,1.24866,1.24866
2018-01-25 12:19,1.24868,1.24885,1.24867,1.24873
2018-01-25 12:20,1.24872,1.24903,1.24862,1.24898
2018-01-25 12:21,1.24894,1.24894,1.24871,1.24871
2018-01-25 12:22,1.24871,1.24876,1.24843,1.24857
2018-01-25 12:23,1.24858,1.24874,1.24837,1.24871
2018-01-25 12:24,1.24868,1.24886,1.24858,1.24877
2018-01-25 12:25,1.24879,1.24887,1.24872,1.24883
2018-01-25 12:26,1.24884,1.24893,1.24884,1.24885
2018-01-25 12:27,1.24884,1.24886,1.24859,1.24860
2018-01-25 12:28,1.24859,1.24878,1.24859,1.24872
2018-01-25 12:29,1.24871,1.24886,1.24870,1.24884
2018-01-25 12:30,1.24884,1.24891,1.24866,1.24875
2018-01-25 12:31,1.24874,1.24878,1.24851,1.24851
2018-01-25 12:32,1.24852,1.24875,1.24840,1.24866
2018-01-25 12:33,1.24865,1.24876,1.24863,1.24863
2018-01-25 12:34,1.24862,1.24862,1.24815,1.24835
2018-01-25 12:35,1.24837,1.24846,1.24827,1.24839
2018-01-25 12:36,1.24839,1.24841,1.24828,1.24831
2018-01-25 12:37,1.24828,1.24828,1.24780,1.24791
2018-01-25 12:38,1.24788,1.24790,1.24773,1.24783
2018-01-25 12:39,1.24782,1.24803,1.24775,1.24791
2018-01-25 12:40,1.24789,1.24794,1.24776,1.24776
2018-01-25 12:41,1.24780,1.24795,1.24776,1.24786
2018-01-25 12:42,1.24789,1.24798,1.24784,1.24786
2018-01-25 12:43,1.24788,1.24800,1.24783,1.24798
2018-01-25 12:44,1.24797,1.24805,1.24784,1.24789
2018-01-25 12:45,1.24788,1.24808,1.24788,1.24808
2018-01-25 12:46,1.24809,1.24819,1.24808,1.24817
2018-01-25 12:47,1.24817,1.24822,1.24813,1.24822
2018-01-25 12:48,1.24821,1.24823,1.24800,1.24815
2018-01-25 12:49,1.24815,1.24815,1.24803,1.24804
2018-01-25 12:50,1.24805,1.24813,1.24792,1.24794
2018-01-25 12:51,1.24795,1.24826,1.24795,1.24813
2018-01-25 12:52,1.24815,1.24832,1.24810,1.24832
2018-01-25 12:53,1.24833,1.24844,1.24825,1.24827
2018-01-25 12:54,1.24828,1.24831,1.24810,1.24828
2018-01-25 12:55,1.24827,1.24841,1.24827,1.24838
2018-01-25 12:56,1.24837,1.24859,1.24833,1.24856
2018-01-25 12:57,1.24855,1.24890,1.24854,1.24884
2018-01-25 12:58,1.24883,1.24903,1.24879,1.24903
2018-01-25 12:59,1.24904,1.24922,1.24897,1.24922
2018-01-25 13:00,1.24920,1.24934,1.24897,1.24931
2018-01-25 13:01,1.24929,1.24958,1.24915,1.24958
2018-01-25 13:02,1.24955,1.24978,1.24941,1.24952
2018-01-25 13:03,1.24953,1.24977,1.24929,1.24977
2018-01-25 13:04,1.24979,1.24998,1.24975,1.24987
2018-01-25 13:05,1.24987,1.24987,1.24973,1.24974
2018-01-25 13:06,1.24974,1.24997,1.24965,1.24977
2018-01-25 13:07,1.24976,1.24990,1.24968,1.24976
2018-01-25 13:08,1.24975,1.25016,1.24970,1.25000
2018-01-25 13:09,1.25000,1.25006,1.24980,1.25006
2018-01-25 13:10,1.25007,1.25049,1.25006,1.25037
2018-01-25 13:11,1.25035,1.25044,1.25020,1.25025
2018-01-25 13:12,1.25024,1.25047,1.25018,1.25044
2018-01-25 13:13,1.25044,1.25050,1.25039,1.25046
2018-01-25 13:14,1.25047,1.25047,1.25027,1.25030
2018-01-25 13:15,1.25029,1.25045,1.25027,1.25037
2018-01-25 13:16,1.25036,1.25047,1.25026,1.25030
2018-01-25 13:17,1.25031,1.25031,1.25022,1.25028
2018-01-25 13:18,1.25030,1.25042,1.25029,1.25042
2018-01-25 13:19,1.25041,1.25056,1.25036,1.25056
2018-01-25 13:20,1.25057,1.25062,1.25038,1.25042
2018-01-25 13:21,1.25042,1.25045,1.25036,1.25041
2018-01-25 13:22,1.25042,1.25042,1.24990,1.25017
2018-01-25 13:23,1.25019,1.25028,1.24995,1.24995
2018-01-25 13:24,1.24994,1.24997,1.24987,1.24990
2018-01-25 13:25,1.24989,1.24990,1.24972,1.24975
2018-01-25 13:26,1.24974,1.24995,1.24963,1.24990
2018-01-25 13:27,1.24991,1.24994,1.24976,1.24980
2018-01-25 13:28,1.24981,1.24981,1.24958,1.24958
2018-01-25 13:29,1.24959,1.24964,1.24945,1.24951
2018-01-25 13:30,1.24950,1.24992,1.24950,1.24991
2018-01-25 13:31,1.24994,1.25000,1.24977,1.24985
2018-01-25 13:32,1.24985,1.24985,1.24971,1.24973
2018-01-25 13:33,1.24960,1.24967,1.24942,1.24942
2018-01-25 13:34,1.24941,1.24945,1.24926,1.24942
2018-01-25 13:35,1.24942,1.24957,1.24931,1.24932
2018-01-25 13:36,1.24934,1.24944,1.24932,1.24932
2018-01-25 13:37,1.24933,1.24942,1.24925,1.24936
2018-01-25 13:38,1.24937,1.24941,1.24921,1.24921
2018-01-25 13:39,1.24925,1.24927,1.24915,1.24916
2018-01-25 13:40,1.24917,1.24926,1.24885,1.24895
2018-01-25 13:41,1.24896,1.24917,1.24809,1.24831
2018-01-25 13:42,1.24831,1.24863,1.24821,1.24828
2018-01-25 13:43,1.24827,1.24882,1.24814,1.24824
2018-01-25 13:44,1.24824,1.24828,1.24752,1.24766
2018-01-25 13:45,1.24764,1.24815,1.24757,1.24815
2018-01-25 13:46,1.24815,1.24817,1.24780,1.24794
2018-01-25 13:47,1.24793,1.24793,1.24763,1.24765
2018-01-25 13:48,1.24763,1.24765,1.24740,1.24747
2018-01-25 13:49,1.24745,1.24767,1.24740,1.24746
2018-01-25 13:50,1.24745,1.24778,1.24742,1.24778
2018-01-25 13:51,1.24777,1.24795,1.24770,1.24777
2018-01-25 13:52,1.24777,1.24798,1.24773,1.24797
2018-01-25 13:53,1.24798,1.24839,1.24794,1.24838
2018-01-25 13:54,1.24837,1.24838,1.24814,1.24829
2018-01-25 13:55,1.24828,1.24836,1.24826,1.24828
2018-01-25 13:56,1.24828,1.24839,1.24805,1.24806
2018-01-25 13:57,1.24806,1.24808,1.24792,1.24801
2018-01-25 13:58,1.24802,1.24822,1.24799,1.24822
